"","Name","position","playerid","IP","ERA","WHIP","SV","W","K","adjusted_points","dollar_value"
"584","Stephen Pryor","pitcher","10663",25,5.09,1.61,0,1,21,-4.52,-12.74
"298","Heath Hembree","pitcher","11632",10,3.87,1.33,0,0,9,-4.52,-12.74
"275","Wilton Lopez","pitcher","4227",10,3.99,1.26,0,0,7,-4.54,-12.78
"320","Matt Wisler","pitcher","sa601046",9,4.05,1.29,0,0,8,-4.55,-12.81
"383","Daniel Coulombe","pitcher","13293",10,3.91,1.43,0,0,10,-4.56,-12.84
"369","Grayson Garvin","pitcher","sa526542",10,3.97,1.33,0,0,7,-4.57,-12.88
"377","Charles Brewer","pitcher","9155",10,4.28,1.32,0,0,8,-4.57,-12.88
"266","Matt Lindstrom","pitcher","4604",10,3.96,1.34,0,0,7,-4.58,-12.89
"434","Jose Valdez","pitcher","sa506748",10,4.19,1.41,0,0,9,-4.59,-12.94
"604","Michael Ynoa","pitcher","sa549595",25,5.31,1.63,0,1,21,-4.59,-12.94
"351","Jamey Wright","pitcher","715",10,4.12,1.39,0,0,8,-4.6,-12.95
"429","Andrew Chafin","pitcher","12988",10,4.12,1.39,0,0,8,-4.6,-12.95
"516","Carlos Contreras","pitcher","10386",10,4.2,1.44,0,0,9,-4.61,-12.98
"486","Greg Burke","pitcher","6282",10,4.45,1.4,0,0,9,-4.61,-12.98
"504","Enny Romero","pitcher","4001",10,4.23,1.42,0,0,8,-4.62,-13.02
"548","Mike Strong","pitcher","sa502184",10,4.48,1.46,0,0,10,-4.62,-13.02
"513","Aaron Brooks","pitcher","12272",10,4.52,1.3,0,0,6,-4.62,-13.03
"609","Chris Beck","pitcher","sa503060",19,5.52,1.53,0,1,10,-4.64,-13.06
"510","Danny Burawa","pitcher","sa549108",10,4.38,1.47,0,0,9,-4.64,-13.07
"612","Daniel Corcino","pitcher","9266",19,5.68,1.59,0,1,14,-4.64,-13.07
"479","AJ Schugel","pitcher","sa546773",10,4.35,1.41,0,0,7,-4.64,-13.09
"542","Mike Montgomery","pitcher","sa454399",10,4.36,1.41,0,0,7,-4.65,-13.09
"423","Justin Nicolino","pitcher","sa548278",9,4.38,1.33,0,0,5,-4.65,-13.1
"534","Pat McCoy","pitcher","6605",10,4.44,1.41,0,0,7,-4.65,-13.11
"576","Branden Pinder","pitcher","sa598304",10,4.69,1.43,0,0,8,-4.66,-13.14
"577","Elvis Araujo","pitcher","sa598786",15,4.7,1.54,0,0,13,-4.67,-13.15
"540","Brent Suter","pitcher","sa621681",9,4.62,1.42,0,0,7,-4.67,-13.16
"598","Keyvius Sampson","pitcher","sa501217",10,4.83,1.5,0,0,10,-4.67,-13.16
"563","Angel Nesbitt","pitcher","sa505061",10,4.73,1.46,0,0,8,-4.68,-13.19
"568","Ryan Merritt","pitcher","sa598282",10,4.91,1.38,0,0,6,-4.7,-13.23
